label_group,overall,amazon,apple,gaana,hungama,jiosaavn,spotify,wynk,ytmusic
bmg,0.23,0.22,0.22,0.14,0.14,0.22,0.22,0.17,0.22
merlin,1.5,1.08,1.46,0.05,0.19,0.99,1.46,0.14,1.41
warner_indie,0.16,0.09,0.16,0.03,0.05,0.14,0.15,0.05,0.14
universal_indie,0.6,0.57,0.58,0.03,0.48,0.57,0.59,0.46,0.57
sony_indie,1.21,0.98,1.16,0.25,0.16,1.01,1.16,0.47,1.13
create_music,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
believe,0.29,0.28,0.28,0.16,0.15,0.24,0.29,0.11,0.28
43north,0.03,0.03,0.02,0.01,0.01,0.02,0.03,0.01,0.03
empire,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.0,0.06
seed,0.02,0.01,0.02,0.0,0.0,0.01,0.02,0.0,0.02
naxos,0.26,0.17,0.26,0.0,0.01,0.21,0.26,0.0,0.2
universal,2.34,2.3,2.33,0.04,1.81,2.04,2.32,1.92,2.14
sony,1.35,1.29,1.34,1.31,1.17,1.28,1.34,1.21,1.31
warner,1.17,1.15,1.16,1.04,0.98,1.13,1.15,0.84,1.14
unclassified,0.78,0.22,0.23,0.03,0.07,0.19,0.25,0.02,0.22
TOTAL,10.0,8.46,9.29,3.09,5.23,8.13,9.32,5.41,8.87
