label_group,amazon,apple,gaana,hungama,jiosaavn,spotify,wynk,ytmusic
warner_main,96.8,99.4,90.5,82.4,96.3,95.4,25.9,97.7
bmg,98.4,96.8,58.7,65.1,96.8,93.7,34.9,93.7
universal_main,98.8,99.7,0.9,77.5,87.9,99.7,80.3,93.6
merlin,65.3,99.0,2.9,11.8,66.1,98.5,7.8,94.1
sony_parent,96.0,98.0,90.0,86.0,94.0,98.0,78.0,94.0
warner_indie,66.7,100.0,25.6,43.6,89.7,97.4,12.8,89.7
universal_indie,92.6,97.5,6.2,75.3,90.7,98.1,68.5,93.8
universal_parent,95.7,94.8,1.7,71.3,94.8,97.4,91.3,91.3
sony_main,97.6,98.9,96.0,83.8,95.5,99.7,91.0,96.8
sony_indie,81.2,95.6,22.0,14.7,80.9,95.6,41.3,93.3
create_music,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
believe,93.3,97.3,48.0,46.7,81.3,100.0,45.3,97.3
warner_parent,98.7,100.0,85.7,84.4,94.8,97.4,41.6,97.4
43north,100.0,85.7,28.6,28.6,85.7,100.0,14.3,85.7
empire,92.9,92.9,0.0,7.1,100.0,100.0,0.0,100.0
seed,7.7,100.0,0.0,0.0,7.7,100.0,0.0,100.0
naxos,61.8,100.0,2.9,5.9,76.5,100.0,2.9,76.5
