label_group,amazon,apple,gaana,hungama,jiosaavn,spotify,wynk,ytmusic
warner_main,96.8,99.4,90.5,82.4,96.3,95.4,25.9,97.7
bmg,98.4,96.8,58.7,65.1,96.8,93.7,34.9,93.7
universal_main,98.8,99.7,0.9,77.5,87.9,99.7,80.3,93.6
merlin,65.3,99.0,2.9,11.8,66.1,98.5,7.8,94.1
sony_parent,100.0,100.0,93.8,83.3,95.8,95.8,77.1,93.8
warner_indie,66.7,100.0,25.6,43.6,89.7,97.4,12.8,89.7
universal_indie,92.5,97.3,6.8,74.0,89.7,97.9,65.1,93.8
universal_parent,96.4,97.6,0.0,68.7,96.4,98.8,88.0,90.4
sony_main,97.6,98.9,96.0,83.8,95.5,99.7,91.0,96.8
sony_indie,78.8,94.9,16.1,16.8,82.8,95.6,27.0,92.3
create_music,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
believe,94.7,96.5,52.6,56.1,80.7,100.0,28.1,98.2
warner_parent,100.0,100.0,89.5,85.5,94.7,97.4,40.8,97.4
43north,100.0,87.5,37.5,37.5,87.5,100.0,25.0,87.5
empire,92.9,92.9,0.0,7.1,100.0,100.0,0.0,100.0
seed,7.7,100.0,0.0,0.0,7.7,100.0,0.0,100.0
naxos,61.8,100.0,2.9,5.9,76.5,100.0,2.9,76.5
