genre,list_name,year,source_url_official,source_url_unofficial
All,Rolling_Stone_500_Greatest_Albums,,https://www.rollingstone.com/music/music-lists/best-albums-of-all-time-1062063/,https://www.rocklistmusic.co.uk/rs200.html#500Albums_2020
All,NME_500_Greatest_Albums,,,https://www.rocklistmusic.co.uk/nme_500_greatest_albums_2013.htm
Blues,penguin_guide_blues_recordings_crowns,,,https://people.ucalgary.ca/~ghfick/blues.html
Blues,downbeat_top_blues_2012_2021,2012,http://www.downbeat.com/digitaledition/2012/DB201208/_art/DB201208.pdf,http://www.acclaimedmusic.net/forums/viewtopic.php?p=18580&sid=cd0d9d9f8f0ebd461f7c9f97df551261#p18580
Blues,downbeat_top_blues_2012_2021,2013,http://www.downbeat.com/digitaledition/2013/DB201308/_art/DB201308.pdf,http://www.acclaimedmusic.net/forums/viewtopic.php?p=34831&sid=cd0d9d9f8f0ebd461f7c9f97df551261#p34831
Blues,downbeat_top_blues_2012_2021,2014,http://www.downbeat.com/digitaledition/2014/DB1408/_art/DB1408.pdf,http://www.acclaimedmusic.net/forums/viewtopic.php?p=34831&sid=cd0d9d9f8f0ebd461f7c9f97df551261#p34831
Blues,downbeat_top_blues_2012_2021,2015,https://www.downbeat.com/digitaledition/2015/DB1508/_art/DB1508.pdf,
Blues,downbeat_top_blues_2012_2021,2016,https://www.downbeat.com/digitaledition/2016/DB1608/_art/DB1608.pdf,
Blues,downbeat_top_blues_2012_2021,2017,https://www.downbeat.com/digitaledition/2017/DB1708/_art/DB1708.pdf,
Blues,downbeat_top_blues_2012_2021,2018,https://www.downbeat.com/digitaledition/2018/DB1808/_art/DB1808.pdf,
Blues,downbeat_top_blues_2012_2021,2019,https://www.downbeat.com/digitaledition/2019/DB1908/_art/DB1908.pdf,
Blues,downbeat_top_blues_2012_2021,2020,https://www.downbeat.com/digitaledition/2020/DB20_08/_art/DB20_08.pdf,
Blues,downbeat_top_blues_2012_2021,2021,https://www.downbeat.com/digitaledition/2021/DB21_08/DB21_08.pdf,
EDM,MixMag_50_most_influential_albums,,https://mixmag.net/feature/the-50-most-influential-dance-music-albums-of-all-time,http://www.acclaimedmusic.net/forums/viewtopic.php?t=9001 
EDM,Resident_Advisor_Best_Albums_2012_2021,2012,https://ra.co/features/1704,http://acclaimedmusic.net/forums/viewtopic.php?t=791
EDM,Resident_Advisor_Best_Albums_2012_2021,2013,https://ra.co/features/1972,http://www.acclaimedmusic.net/forums/viewtopic.php?t=1554
EDM,Resident_Advisor_Best_Albums_2012_2021,2014,https://ra.co/features/2332,https://www.acclaimedmusic.net/forums/viewtopic.php?t=2362
EDM,Resident_Advisor_Best_Albums_2012_2021,2015,https://ra.co/features/2575,http://www.acclaimedmusic.net/forums/viewtopic.php?f=17&t=3223
EDM,Resident_Advisor_Best_Albums_2012_2021,2016,https://ra.co/features/2859,http://acclaimedmusic.net/forums/viewtopic.php?t=4489
EDM,Resident_Advisor_Best_Albums_2012_2021,2017,https://ra.co/features/3134,http://www.acclaimedmusic.net/forums/viewtopic.php?t=6353
EDM,Resident_Advisor_Best_Albums_2012_2021,2018,https://ra.co/features/3384,https://www.acclaimedmusic.net/forums/viewtopic.php?f=22&t=7142
EDM,Resident_Advisor_Best_Albums_2012_2021,2019,https://ra.co/features/3540,http://www.acclaimedmusic.net/forums/viewtopic.php?t=8072
EDM,Resident_Advisor_Best_Albums_2012_2021,2020,https://ra.co/features/3787,http://www.acclaimedmusic.net/forums/viewtopic.php?p=135872
EDM,Resident_Advisor_Best_Albums_2012_2021,2021,https://ra.co/features/3950,https://www.acclaimedmusic.net/forums/viewtopic.php?t=10681
Hip-Hop,HipHopGoldenAge_best_250_hip_hop_albums_all_time,,https://hiphopgoldenage.com/list/the-best-250-hip-hop-albums-of-all-time/,http://www.acclaimedmusic.net/forums/viewtopic.php?t=9816
Hip-Hop,HotNewHipHop_best_albums_annual_2012_2021,2012,https://www.hotnewhiphop.com/top-hip-hop-albums-of-2012-news.3889.html,
Hip-Hop,HotNewHipHop_best_albums_annual_2012_2021,2013,https://www.hotnewhiphop.com/hottest-albums-of-2013-news.8732.html,
Hip-Hop,HotNewHipHop_best_albums_annual_2012_2021,2014,https://www.hotnewhiphop.com/hottest-albums-of-2014-news.13412.html,
Hip-Hop,HotNewHipHop_best_albums_annual_2012_2021,2015,https://www.hotnewhiphop.com/hottest-albums-of-2015-news.19222.html,
Hip-Hop,HotNewHipHop_best_albums_annual_2012_2021,2016,https://www.hotnewhiphop.com/hottest-20-albums-of-2016-news.26197.html,
Hip-Hop,HotNewHipHop_best_albums_annual_2012_2021,2017,https://www.hotnewhiphop.com/hottest-albums-of-2017-news.40046.html,
Hip-Hop,HotNewHipHop_best_albums_annual_2012_2021,2018,https://www.hotnewhiphop.com/top-30-hottest-hip-hop-albums-of-2018-news.65691.html,
Hip-Hop,HotNewHipHop_best_albums_annual_2012_2021,2019,https://www.hotnewhiphop.com/top-25-hottest-hip-hop-albums-of-2019-news.97471.html,
Hip-Hop,HotNewHipHop_best_albums_annual_2012_2021,2020,https://www.hotnewhiphop.com/top-25-hottest-hip-hop-albums-of-2020-news.122566.html,
Hip-Hop,HotNewHipHop_best_albums_annual_2012_2021,2021,https://www.hotnewhiphop.com/top-30-hottest-hip-hop-albums-of-2021-news.143625.html,
Jazz,penguin crown 100,,,https://people.ucalgary.ca/~ghfick/jazz.html
Jazz,downbeat_top_10_jazz_2012_2021,2012,http://www.downbeat.com/digitaledition/2012/DB201208/_art/DB201208.pdf,http://www.acclaimedmusic.net/forums/viewtopic.php?p=18580&sid=cd0d9d9f8f0ebd461f7c9f97df551261#p18580
Jazz,downbeat_top_10_jazz_2012_2021,2013,http://www.downbeat.com/digitaledition/2013/DB201308/_art/DB201308.pdf,http://www.acclaimedmusic.net/forums/viewtopic.php?p=34831&sid=cd0d9d9f8f0ebd461f7c9f97df551261#p34831
Jazz,downbeat_top_10_jazz_2012_2021,2014,http://www.downbeat.com/digitaledition/2014/DB1408/_art/DB1408.pdf,http://www.acclaimedmusic.net/forums/viewtopic.php?p=34831&sid=cd0d9d9f8f0ebd461f7c9f97df551261#p34831
Jazz,downbeat_top_10_jazz_2012_2021,2015,https://www.downbeat.com/digitaledition/2015/DB1508/_art/DB1508.pdf,
Jazz,downbeat_top_10_jazz_2012_2021,2016,https://www.downbeat.com/digitaledition/2016/DB1608/_art/DB1608.pdf,
Jazz,downbeat_top_10_jazz_2012_2021,2017,https://www.downbeat.com/digitaledition/2017/DB1708/_art/DB1708.pdf,
Jazz,downbeat_top_10_jazz_2012_2021,2018,https://www.downbeat.com/digitaledition/2018/DB1808/_art/DB1808.pdf,
Jazz,downbeat_top_10_jazz_2012_2021,2019,https://www.downbeat.com/digitaledition/2019/DB1908/_art/DB1908.pdf,
Jazz,downbeat_top_10_jazz_2012_2021,2020,https://www.downbeat.com/digitaledition/2020/DB20_08/_art/DB20_08.pdf,
Jazz,downbeat_top_10_jazz_2012_2021,2021,https://www.downbeat.com/digitaledition/2021/DB21_08/DB21_08.pdf,
Metal,Rolling_stone_100_greatest_metal_albums_of_all_time,,https://www.rollingstone.com/music/music-lists/the-100-greatest-metal-albums-of-all-time-113614/,https://metalinsider.net/lists/lets-argue-about-rolling-stones-top-100-metal-albums-ever
Metal,Metal_Hammer_50_best_albums_annual_2012_2021,2012,,https://www.rocklistmusic.co.uk/metal.htm#2012
Metal,Metal_Hammer_50_best_albums_annual_2012_2021,2013,,https://www.rocklistmusic.co.uk/metal.htm#2013
Metal,Metal_Hammer_50_best_albums_annual_2012_2021,2014,,https://www.rocklistmusic.co.uk/metal.htm#2014
Metal,Metal_Hammer_50_best_albums_annual_2012_2021,2015,,https://www.rocklistmusic.co.uk/metal.htm#2015
Metal,Metal_Hammer_50_best_albums_annual_2012_2021,2016,,https://www.rocklistmusic.co.uk/metal.htm#2016
Metal,Metal_Hammer_50_best_albums_annual_2012_2021,2017,,https://www.rocklistmusic.co.uk/metal.htm#2017
Metal,Metal_Hammer_50_best_albums_annual_2012_2021,2018,,https://www.metacritic.com/feature/critics-pick-top-10-best-albums-of-2018
Metal,Metal_Hammer_50_best_albums_annual_2012_2021,2019,https://www.loudersound.com/features/the-20-best-metal-albums-of-2019-metal-hammers-critics-choices,http://www.acclaimedmusic.net/forums/viewtopic.php?t=8116
Metal,Metal_Hammer_50_best_albums_annual_2012_2021,2020,,https://www.metacritic.com/feature/music-critics-pick-top-10-best-albums-of-2020
Metal,Metal_Hammer_50_best_albums_annual_2012_2021,2021,,https://www.facebook.com/groups/195830297121202/posts/4779431462094373/
Pop,Slant_Vital_50_Pop_Albums,,https://www.slantmagazine.com/music/vital-pop-50-essential-pop-albums/,
Pop,Allmusic_favorite_pop_albums_2012_2021,2012,https://www.allmusic.com/blog/post/allmusics-favorite-pop-albums-of-2012,
Pop,Allmusic_favorite_pop_albums_2012_2021,2013,https://www.allmusic.com/blog/post/allmusics-favorite-pop-albums-of-2013,
Pop,Allmusic_favorite_pop_albums_2012_2021,2014,https://www.allmusic.com/year-in-review/2014/favorite-pop-albums,
Pop,Allmusic_favorite_pop_albums_2012_2021,2015,https://www.allmusic.com/year-in-review/2015/favorite-pop-albums,
Pop,Allmusic_favorite_pop_albums_2012_2021,2016,https://www.allmusic.com/year-in-review/2016/favorite-pop,
Pop,Allmusic_favorite_pop_albums_2012_2021,2017,https://www.allmusic.com/year-in-review/2017/favorite-pop,
Pop,Allmusic_favorite_pop_albums_2012_2021,2018,https://www.allmusic.com/year-in-review/2018/favorite-pop,
Pop,Allmusic_favorite_pop_albums_2012_2021,2019,https://www.allmusic.com/year-in-review/2019/favorite-pop,
Pop,Allmusic_favorite_pop_albums_2012_2021,2020,https://www.allmusic.com/year-in-review/2020/favorite-pop,
Pop,Allmusic_favorite_pop_albums_2012_2021,2021,https://www.allmusic.com/year-in-review/2021/favorite-pop,
